Symbol,Company Name,Industry,Currency Exposure
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,"USD, GBP, SGD, EURO"
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,USD
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,"USD, SGD"
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,"GBP, USD"
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,USD
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,"USD, SGD"
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,"SGD, USD"
INFRATEL,Bharti Infratel Ltd.,TELECOM,
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,
CIPLA,Cipla Ltd.,PHARMA,USD
COALINDIA,Coal India Ltd.,METALS,
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,USD
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,GBP
GAIL,GAIL (India) Ltd.,ENERGY,USD
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,
HCLTECH,HCL Technologies Ltd.,IT,USD
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,"USD, SGD"
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,
HINDALCO,Hindalco Industries Ltd.,METALS,
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,USD
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,"USD, GBP, SGD, EURO"
ITC,ITC Ltd.,CONSUMER GOODS,
IOC,Indian Oil Corporation Ltd.,ENERGY,USD
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,
INFY,Infosys Ltd.,IT,"USD, EURO"
JSWSTEEL,JSW Steel Ltd.,METALS,
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,
LT,Larsen & Toubro Ltd.,CONSTRUCTION,"USD, GBP, SGD, EURO"
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,"USD, GBP, SGD, EURO"
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,"USD, GBP, SGD, EURO"
NTPC,NTPC Ltd.,ENERGY,
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,USD
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,
RELIANCE,Reliance Industries Ltd.,ENERGY,"USD, SGD"
SBIN,State Bank of India,FINANCIAL SERVICES,USD
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,USD
TCS,Tata Consultancy Services Ltd.,IT,"USD, EURO"
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,GBP
TATASTEEL,Tata Steel Ltd.,METALS,"USD, GBP, SGD, EURO"
TECHM,Tech Mahindra Ltd.,IT,USD
TITAN,Titan Company Ltd.,CONSUMER GOODS,
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,USD
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,
VEDL,Vedanta Ltd.,METALS,
WIPRO,Wipro Ltd.,IT,"USD, EURO"
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,USD
